NOMRS;CODPOS;LIBCOM;LONGITUDE;LATITUDE;BPE24_varmod.LIB_MOD;BPE24_varmod.LIB_MOD.1;#Code_commune_INSEE
CITY STADE SAINT-JACQUES;63000;CLERMONT-FERRAND;3,0956;45,76052;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ECOLE JEAN JAURES;63000;CLERMONT-FERRAND;3,09094;45,76393;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
HLM TARDIERES (OPAC);63000;CLERMONT-FERRAND;3,06961;45,78554;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
INSTITUT DES METIERS 63;63000;CLERMONT-FERRAND;3,13002;45,81181;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
STADE DANIEL PAPILLAUD;63000;CLERMONT-FERRAND;3,12087;45,76139;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ECOLE PAUL BERT;63000;CLERMONT-FERRAND;3,11942;45,77354;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ECOLE JEAN ZAY;63000;CLERMONT-FERRAND;3,06256;45,78875;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ECOLE JULES VERNE;63000;CLERMONT-FERRAND;3,12722;45,81027;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ECOLE ALPHONSE DAUDET;63000;CLERMONT-FERRAND;3,10621;45,81329;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
GYMNASE ANDRE AUTUN;63000;CLERMONT-FERRAND;3,10734;45,80619;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE JEAN DE LA FONTAINE;63000;CLERMONT-FERRAND;3,11921;45,79924;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE JEAN BUTEZ;63000;CLERMONT-FERRAND;3,08655;45,78859;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE ROMAIN ROLLAND;63000;CLERMONT-FERRAND;3,12458;45,81372;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE EDGARD QUINET;63000;CLERMONT-FERRAND;3,07755;45,78211;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE ÉDOUARD HERRIOT;63000;CLERMONT-FERRAND;3,08443;45,76271;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE MERCOEUR;63000;CLERMONT-FERRAND;3,11942;45,81172;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE CHARLES PERRAULT;63000;CLERMONT-FERRAND;3,11697;45,79794;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE VICTOR DURUY;63000;CLERMONT-FERRAND;3,09869;45,78102;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE FERDINAND BUISSON;63000;CLERMONT-FERRAND;3,11364;45,79692;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
LES GRAVANCHES;63000;CLERMONT-FERRAND;3,13103;45,80461;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
GYMNASE GERARD VERLAGUET;63000;CLERMONT-FERRAND;3,07806;45,78259;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ECOLE GEORGES SAND;63000;CLERMONT-FERRAND;3,10286;45,80552;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ECOLE JULES VALLES;63000;CLERMONT-FERRAND;3,10588;45,80973;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
AGORESPACE MULTISPORTS;63000;CLERMONT-FERRAND;3,10612;45,77429;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE JEAN MACÉ;63000;CLERMONT-FERRAND;3,09503;45,76399;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
ÉCOLE NESTOR PERRET;63000;CLERMONT-FERRAND;3,07852;45,77551;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;Equipements sportifs;63113
PARC DES SPORTS MARCEL MICHELIN;63000;CLERMONT-FERRAND;3,10602;45,78944;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE UNIVERSITAIRE;63000;CLERMONT-FERRAND;3,08552;45,76323;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE FONTGIEVE;63000;CLERMONT-FERRAND;3,07649;45,7827;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE LIEUTENANT-COLONEL BOUTET;63000;CLERMONT-FERRAND;3,11496;45,78757;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
ÉCOLE MERCOEUR;63000;CLERMONT-FERRAND;3,11979;45,81125;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
ASM LA GAUTHIERE;63000;CLERMONT-FERRAND;3,11431;45,80043;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
ÉCOLE FERDINAND BUISSON;63000;CLERMONT-FERRAND;3,11337;45,7963;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
INSTITUT DES METIERS 63;63000;CLERMONT-FERRAND;3,1305;45,81105;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
GYMNASE JULES VERNE;63000;CLERMONT-FERRAND;3,12479;45,81043;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE PHILIPPE MARCOMBES;63000;CLERMONT-FERRAND;3,08439;45,76063;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
CITÉ SCOLAIRE PRIVÉE FÉNELON: GYMNASE;63000;CLERMONT-FERRAND;3,08505;45,78412;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
PARC DE LA FRATERNITE;63000;CLERMONT-FERRAND;3,1038;45,81371;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
ÉCOLE ROMAIN ROLLAND;63000;CLERMONT-FERRAND;3,12458;45,81372;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE GABRIEL MONTPIED;63000;CLERMONT-FERRAND;3,12162;45,81584;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
LES GRAVANCHES;63000;CLERMONT-FERRAND;3,1285;45,80216;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE DE L'ESPERANCE;63000;CLERMONT-FERRAND;3,09998;45,75934;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE HERBET;63000;CLERMONT-FERRAND;3,12076;45,77663;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
COMPLEXE CHATEAU DES VERGNES;63000;CLERMONT-FERRAND;3,13049;45,81191;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE DANIEL PAPILLAUD;63000;CLERMONT-FERRAND;3,12127;45,76131;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
COMPLEXE SPORTIF TREMONTEIX;63000;CLERMONT-FERRAND;3,06769;45,79298;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
COLLÈGE PRIVÉ FRANC ROSIER;63000;CLERMONT-FERRAND;3,11085;45,788;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
STADE LECLANCHÉ;63000;CLERMONT-FERRAND;3,11194;45,80719;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
ECOLE ANATOLE FRANCE;63000;CLERMONT-FERRAND;3,11304;45,7781;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
ZONE SPORTIVE DE L'AIA (ASC-AIA);63000;CLERMONT-FERRAND;3,17092;45,78279;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
CITÉ SCOLAIRE PRIVÉE SAINTE ALYRE;63000;CLERMONT-FERRAND;3,08356;45,78551;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
CITÉ SCOLAIRE PRIVÉE STE THÉRÈSE-LES CORDELIERS;63000;CLERMONT-FERRAND;3,11373;45,79586;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
LYCÉE PUBLIC AMBOISE BRUGIÈRE;63000;CLERMONT-FERRAND;3,11045;45,80108;TERRAINS DE GRANDS JEUX;Equipements sportifs;63113
