insee,code_posta,nom_com,cv,nom_cv,dep,nom_dep,reg,nom_reg,libgeo,APL2023,code_qual,chom_24,population,count_coll,count_ecol,count_lyce,BUS_valeur,BUS_val_1,TRAIN_valeur,TRAIN_val_1,METRO_valeur,METRO_val_1,TRAM_valeur,TRAM_val_1,paysage,nb_comm,nb_cultu,nb_com_ali,nb_gd_surf,nb_loisirs,nb_sport,nb_creche,avg_price_sqm,median_price_sqm,total_transactions,transactions_last_year,price_evolution_1y,price_evolution_3y,avg_rent_sqm,rent_quality,nb_obs_commune,score_1deg,score_2nddeg,score_transp,score_sante,score_economique,score_sport_loisirs,score_culture,score_immo,latitude,longitude
81124,81230.0,Lacaune,8114,Les Hautes Terres d'Oc,81,Tarn,76,Occitanie,Lacaune,2.5,,7.7,2521.0,1,1,0,2.03,5.0,0.0,0.0,0.0,0.0,0.0,0.0,montagne,11.0,1.0,18.0,2.0,17.0,17.0,1.0,1069.96,894.37,169.0,169.0,-2.37,-19.69,9.66766120850801,0.718520035048245,151.0,77.0,92.0,56.0,36.0,66.0,25.0,10.0,57.71,43.697,2.688
81128,81210.0,Lacrouzette,8114,Les Hautes Terres d'Oc,81,Tarn,76,Occitanie,Lacrouzette,0.3,,7.7,1578.0,0,2,0,1.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,montagne,5.0,1.0,8.0,1.0,15.0,15.0,2.0,1105.48,882.35,78.0,78.0,-31.3,-21.27,9.08473290415639,0.763823388319346,25.0,90.0,44.0,49.0,2.0,32.0,21.0,10.0,57.5,43.662,2.362
45246,45300.0,Pannecières,4517,Pithiviers,45,Loiret,24,Centre-Val de Loire,PanneciŠres,1.9,2.0,7.2,118.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,71.0,10.0,44.0,10.0,117.0,117.0,0.0,1988.25,2007.46,18.0,18.0,,-20.19,11.7610815301694,0.842085362746362,0.0,20.0,44.0,21.0,19.0,93.0,98.0,91.0,54.07,48.293,2.143
62007,62144.0,Acq,6202,Arras-1,62,Pas-de-Calais,32,Hauts-de-France,Acq,3.8,2.0,8.2,795.0,0,1,0,5.06,4.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,3.0,3.0,6.0,0.0,13.0,13.0,0.0,2059.07,2257.26,25.0,25.0,5.09,9.99,10.9856294765745,0.808700364571988,6.0,56.0,44.0,78.0,77.0,19.0,17.0,38.0,53.47,50.349,2.655
81222,81120.0,Réalmont,8113,Le Haut Dadou,81,Tarn,76,Occitanie,Râ€šalmont,3.1,,7.7,3610.0,1,2,0,0.56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,22.0,5.0,17.0,2.0,52.0,52.0,3.0,2468.73,1722.35,103.0,103.0,-26.13,-0.77,9.52797981232209,0.808733576208131,716.0,92.0,92.0,43.0,57.0,64.0,79.0,61.0,54.43,43.78,2.19
62017,62650.0,Aix-en-Ergny,6233,Lumbres,62,Pas-de-Calais,32,Hauts-de-France,Aix-en-Ergny,2.5,2.0,8.2,199.0,0,0,0,19.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,8.0,3.0,8.0,2.0,36.0,36.0,0.0,632.18,632.18,6.0,6.0,,,10.697090620123,0.649562891442584,0.0,20.0,44.0,98.0,36.0,36.0,60.0,38.0,58.34,50.587,2.0
62018,62170.0,Aix-en-Issart,6206,Auxi-le-Château,62,Pas-de-Calais,32,Hauts-de-France,Aix-en-Issart,2.9,2.0,8.2,271.0,0,1,0,14.98,4.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,60.0,7.0,38.0,4.0,56.0,56.0,0.0,851.91,851.91,9.0,9.0,,,10.546773763011,0.725942845984318,13.0,56.0,44.0,96.0,50.0,89.0,82.0,78.0,57.66,50.48,1.861
62025,62164.0,Ambleteuse,6222,Desvres,62,Pas-de-Calais,32,Hauts-de-France,Ambleteuse,2.8,2.0,8.2,2068.0,0,1,0,4.48,9.0,0.0,0.0,0.0,0.0,0.0,0.0,littoral,4.0,0.0,4.0,1.0,7.0,7.0,1.0,3090.35,2906.98,55.0,55.0,-28.93,-25.16,12.1019488449788,0.743373284405804,33.0,77.0,44.0,75.0,47.0,14.0,6.0,2.0,51.14,50.812,1.621
62028,62190.0,Ames,6231,Lillers,62,Pas-de-Calais,32,Hauts-de-France,Ames,3.4,2.0,8.2,682.0,0,1,0,15.15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,35.0,1.0,18.0,5.0,45.0,45.0,1.0,962.13,1030.16,38.0,38.0,,-23.29,9.53984249735749,0.668553933203451,2.0,77.0,44.0,96.0,66.0,72.0,72.0,10.0,57.23,50.536,2.415
62032,62143.0,Angres,6217,Bully-les-Mines,62,Pas-de-Calais,32,Hauts-de-France,Angres,3.3,2.0,8.2,4684.0,1,1,0,2.33,11.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,9.0,1.0,4.0,2.0,13.0,13.0,1.0,1759.02,1672.73,105.0,105.0,-4.25,-18.04,11.5959670061746,0.751293903269453,29.0,77.0,92.0,58.0,63.0,19.0,17.0,10.0,55.21,50.41,2.751
